Taxa,Trophic Group,Feeding Method,Body Size,Reproduction,Pigmentation,Motility
Acanthocyclops vernalis,Omnivore,Raptorial,Small,Obligate sexual,NO,Rapid
Alona guttata,Herbivore,Filtration,Small,Facultative asexual,YES,Slow
Chydorus sphaericus,Herbivore,Filtration,Small,Facultative asexual,YES,Slow
Cyclopoida spp.,Omnivore,Raptorial,Small,Obligate sexual,NO,Rapid
Daphnia middendorffiana,Herbivore,Filtration,Large,Facultative asexual,YES,Slow
Daphnia pulex,Herbivore,Filtration,Medium,Facultative asexual,YES,Slow
Diacyclops thomasi,Carnivore,Raptorial,Medium,Obligate sexual,NO,Rapid
Eucyclops spp.,Omnivore,Raptorial,Medium,Obligate sexual,NO,Rapid
Harpacticoid spp.,Omnivore,Raptorial,Small,Obligate sexual,NO,Rapid
Hesperodiaptomus arcticus,Carnivore,Filtration,Large,Obligate sexual,YES,Rapid
Leptodiaptomus tyrrelli,Herbivore,Filtration,Medium,Obligate sexual,YES,Rapid
Macrocyclops albidus,Carnivore,Raptorial,Large,Obligate sexual,YES,Rapid
